Neuron,Description
RIAR,RIAR is the right ring interneuron complementing RIAL. It processes multimodal head sensory signals and communicates with downstream interneurons for coordinated responses.
RIBL,RIBL is a left ring interneuron linking head sensory neurons to command interneurons for locomotion. It helps couple anterior sensation with global motor state.
RIBR,"RIBR is the right counterpart of RIBL, supporting bilateral transmission of head sensory information to locomotor pathways."
RICL,RICL is a left ring interneuron involved in integrating olfactory and thermosensory inputs. It relays adaptive signals that shape orientation to odors and temperature.
RICR,"RICR is the right ring interneuron matching RICL in function, coordinating with it to produce balanced behavioral responses to chemical and thermal cues."
RID,RID is a single dorsal ring interneuron that projects along the dorsal cord and releases neuromodulators affecting locomotion. It enhances forward movement and adjusts overall motor tone.
RIFL,RIFL is a left ring interneuron connecting head sensory circuits to motor control pathways. It helps stabilize head posture and orchestrate turning in response to stimuli.
RIFR,"RIFR is the right homolog to RIFL, providing parallel control of head posture and steering. It maintains bilateral coordination during head movements."
RIGL,RIGL is a left ring interneuron that integrates mechanosensory and thermosensory information. It influences motor neurons controlling head and neck movement to track environmental gradients.
RIGR,"RIGR is the right counterpart to RIGL, ensuring bilateral synchrony in anterior motor responses during gradient tracking."
RIH,RIH is an unpaired serotonergic ring interneuron that modulates head and body motor tone. It links sensory circuits to serotonergic state control and influences locomotor vigor.
RIML,"RIML is a left ring motor neuron with extensive outputs to command and motor circuits. It participates in turning, head retraction, and rapid state changes, including tyramine-mediated escape responses."
RIMR,RIMR is the right ring motor neuron complementing RIML. It modulates locomotor state and head dynamics and contributes to fast behavioral switches.
RIPL,"RIPL is a left interneuron bridging pharyngeal and somatic rings, coordinating feeding with body movements. It relays timing cues so that locomotion and ingestion remain synchronized."
RIPR,"RIPR is the right counterpart of RIPL, providing bilateral coupling between pharyngeal and somatic motor systems for efficient food intake during motion."
RIR,RIR is an unpaired ring interneuron that integrates cross-modal head sensory inputs and adjusts arousal-like gain on downstream pathways.
RIS,"RIS is a ring interneuron associated with quiescent, sleep-like states. It releases inhibitory transmitters and peptides to suppress activity and promote whole-body rest."
RIVL,RIVL is a left polymodal ring neuron with interneuron and motor features that modulates head bends and steering. It translates sensory context into coordinated muscle activity for directional changes.
RIVR,"RIVR is the right partner to RIVL, contributing to steering and head-bend control with parallel connections to ventral motor output."
RMDDL,RMDDL is a left dorsal ring motor neuron that activates dorsal head muscles during upward bends. It works with RMDDR to maintain symmetry in dorsal head movements.
RMDDR,RMDDR is the right dorsal ring motor neuron complementing RMDDL. It excites dorsal head muscles to preserve balanced oscillations.
RMDL,RMDL is a left ring motor neuron innervating muscles around the head and mouth to generate dorsal-ventral bends. It contributes to exploratory head movements and feeding-associated motions.
RMDR,RMDR is the right ring motor neuron counterpart to RMDL. It supports fine-tuned head bending and orientation during exploration.
RMDVL,RMDVL is a left ventral ring motor neuron that contracts ventral head muscles for downward bends. It cooperates with dorsal counterparts for smooth oscillatory cycles.
RMDVR,"RMDVR is the right ventral ring motor neuron with similar functions, securing symmetry in ventral head movement."
RMED,RMED is an unpaired dorsal ring motor neuron that contributes to lifting the head dorsally. It may integrate proprioceptive signals to bias dorsal bends when needed.
RMEL,RMEL is a left ring motor neuron innervating anterior head muscles for subtle oscillations during scanning. It stabilizes head movement patterns during locomotion.
RMER,"RMER is the right analog of RMEL, coordinating anterior head muscle contractions to maintain bilateral oscillation symmetry."
RMEV,RMEV is an unpaired ventral ring motor neuron driving ventral head muscle contractions. It antagonizes dorsal RME neurons to create balanced cycles.
RMFL,"RMFL is a left ring motor neuron associated with head flexion and lateral bends. In conjunction with RMFR, it supports exploratory scanning and directional head turns."
RMFR,"RMFR is the right partner to RMFL, controlling lateral head flexion on the right side. Together they enable symmetric lateral scanning and turning."
RMGL,RMGL is a left ring interneuron that helps integrate multimodal head sensory input with motor programs. It modulates activity in downstream circuits to shape orientation and exploratory strategies.
RMGR,"RMGR is the right counterpart to RMGL, providing bilateral interneuronal control that balances head motor outputs in response to sensory context."
RMHL,RMHL is a left ring motor neuron that contributes to head lifting and stiffness control at the anterior. It fine-tunes tonic muscle activation for posture.
RMHR,"RMHR is the right ring motor neuron complementing RMHL, stabilizing head elevation and posture with bilaterally matched outputs."
SAADL,SAADL is a left interneuron located in the anterior ventral nerve cord. It integrates signals from sensory neurons and participates in the coordination of head and neck movements.
SAADR,"SAADR is the right interneuron counterpart to SAADL. It transmits bilateral sensory information to motor circuits, supporting coordinated anterior movement."
SAAVL,SAAVL is a left head interneuron that links sensory and motor control circuits. It modulates anterior bending patterns and contributes to locomotor transitions.
SAAVR,"SAAVR is the right homolog to SAAVL, providing symmetrical integration of sensory input for head and anterior body movement control."
SABD,SABD is a dorsal interneuron in the anterior ventral cord that helps regulate head posture and locomotor rhythm. It transmits modulatory signals to adjacent motor neurons.
SABVL,SABVL is a left interneuron connecting head sensory neurons with anterior ventral motor circuits. It plays a role in initiating forward motion.
SABVR,"SABVR is the right counterpart to SABVL, contributing to balanced anterior muscle activation during forward locomotion."
SDQL,SDQL is a left interneuron located posteriorly near the tail. It helps relay sensory information from tail mechanoreceptors to central circuits involved in movement correction.
SDQR,"SDQR is the right counterpart of SDQL, functioning as a tail interneuron that processes sensory feedback and contributes to posterior posture control."
SIADL,SIADL is a left head interneuron that integrates sensory inputs with anterior motor commands. It contributes to steering and fine control of head orientation.
SIADR,"SIADR is the right homolog of SIADL, ensuring bilateral control of head orientation and synchronization with body movements."
SIAVL,SIAVL is a left ventral head interneuron that modulates the output of motor neurons controlling anterior bending and retraction.
SIAVR,"SIAVR is the right counterpart to SIAVL, maintaining symmetry of head and neck movements during exploration."
SIBDL,SIBDL is a left dorsal interneuron linking anterior sensory neurons to the dorsal motor network. It contributes to upward bending coordination.
SIBDR,"SIBDR is the right homolog of SIBDL, providing bilateral integration for dorsal muscle activation and anterior posture control."
SIBVL,SIBVL is a left ventral interneuron that processes sensory inputs to shape ventral head bending patterns and locomotion transitions.
SIBVR,"SIBVR is the right ventral interneuron complementing SIBVL, helping to maintain balanced ventral head motion."
SMBDL,SMBDL is a left motor/interneuron hybrid in the head that drives dorsal muscle contractions and modulates turning. It connects to sensory and motor pathways controlling orientation.
SMBDR,SMBDR is the right counterpart to SMBDL. It coordinates dorsal head bending and turning movements during exploration.
SMBVL,SMBVL is a left ventral motor/interneuron controlling ventral head muscles. It contributes to ventral flexion and rhythmic head oscillation.
SMBVR,"SMBVR is the right ventral motor/interneuron complementing SMBVL, ensuring symmetry in head flexion and oscillatory behavior."
SMDDL,"SMDDL is a left motor/interneuron located in the ring, coordinating dorsal head muscle contraction and turning. It links with SMDVR for balanced motion."
SMDDR,SMDDR is the right dorsal motor/interneuron counterpart to SMDDL. It participates in dorsal head control and directional turns.
SMDVL,SMDVL is a left ventral motor/interneuron activating ventral head muscles. It contributes to oscillatory head movement and alignment with environmental cues.
SMDVR,SMDVR is the right ventral motor/interneuron counterpart of SMDVL. It helps coordinate ventral muscle activation for symmetric head movement.
URADL,URADL is a left anterior motor neuron innervating radial muscles near the mouth. It supports feeding motions and mouth opening coordination.
URADR,"URADR is the right homolog of URADL, contributing to symmetric contraction of anterior muscles around the mouth."
URAVL,URAVL is a left anterior motor neuron that controls radial head muscles for ventral flexion and stabilization during feeding.
URAVR,"URAVR is the right counterpart to URAVL, maintaining symmetry in anterior muscle movement."
URBL,URBL is a left interneuron near the head that connects anterior sensory circuits to motor neurons. It contributes to coordination of feeding-related muscle activity.
URBR,"URBR is the right analog of URBL, functioning in anterior coordination and muscle control."
URXL,URXL is a left oxygen-sensing neuron detecting environmental O₂ concentrations. It modulates locomotion and aggregation behavior according to oxygen levels.
URXR,URXR is the right oxygen-sensing neuron complementing URXL. It helps maintain oxygen preference behavior by signaling to interneurons controlling locomotor state.
URYDL,URYDL is a left dorsal sensory neuron in the head. It detects mechanical or chemical cues near the anterior cuticle and contributes to environmental perception.
URYDR,URYDR is the right dorsal sensory neuron matching URYDL in detecting head-region mechanical and chemical stimuli.
URYVL,"URYVL is a left ventral sensory neuron in the head, involved in detecting environmental contact and chemical gradients near the ventral mouth area."
URYVR,URYVR is the right ventral sensory neuron complementing URYVL. It contributes to bilateral sensory feedback for anterior environmental detection.
VA1,"VA1 is the most anterior of the VA motor neurons in the ventral cord, driving ventral muscle contractions during forward locomotion."
VA10,VA10 is a posterior ventral cord neuron maintaining rhythmic ventral contractions in tail segments.
VA11,VA11 assists in finalizing ventral muscle activity during locomotion and tail straightening.
VA12,"VA12 is the terminal ventral cord motor neuron that innervates the most posterior muscles, completing the forward motor chain."
VA2,VA2 is an anterior ventral cord motor neuron that helps propagate the forward locomotion wave by activating ventral muscles in sequence.
VA3,VA3 is a motor neuron that innervates ventral muscles in the anterior segments and supports forward crawling rhythm.
VA4,VA4 is a ventral motor neuron that coordinates midbody ventral contraction during forward motion.
VA5,VA5 contributes to ventral wave propagation through its activation of body wall muscles in midbody segments.
VA6,VA6 is a ventral cord motor neuron facilitating forward undulation by synchronizing ventral muscle contractions.
VA7,"VA7 continues the ventral motor pattern posteriorly, ensuring smooth propagation of the locomotion wave."
VA8,VA8 is a posterior ventral cord motor neuron coordinating ventral contractions near the tail during forward locomotion.
VA9,VA9 is a tail-region ventral motor neuron completing the VA motor series for posterior forward movement.
VB1,VB1 is the most anterior B-class ventral motor neuron initiating forward locomotion by exciting dorsal and ventral muscles in phase.
VB10,"VB10 activates ventral muscles near the tail, finalizing the posterior phase of forward locomotion."
VB11,"VB11 is the last of the B-class ventral motor neurons, ensuring rhythmic closure of forward locomotor waves."
VB2,VB2 extends the forward locomotor drive posteriorly by coordinating ventral muscle contraction timing.
VB3,VB3 is a midbody motor neuron that helps maintain rhythmic wave propagation during sustained forward motion.
VB4,"VB4 provides ventral activation to midbody segments, contributing to consistent locomotor rhythm."
VB5,"VB5 supports ventral muscle coordination in the posterior body, stabilizing forward crawling motion."
VB6,"VB6 drives posterior ventral muscle contractions, maintaining phase coherence of locomotion waves."
VB7,VB7 ensures continuity of ventral activation during forward movement in posterior segments.
VB8,VB8 contributes to the tail-end propagation of ventral muscle contraction for smooth forward motion.
VB9,"VB9 continues the B-class ventral motor neuron chain, coupling posterior motion to anterior rhythmic drive."
VC1,VC1 is a hermaphrodite-specific ventral cord motor neuron controlling vulval muscles and modulating egg-laying contractions.
VC2,"VC2 is a ventral cord motor neuron linked to egg-laying circuitry, coordinating with VC1 for local muscle activation."
VC3,VC3 contributes to rhythmic vulval muscle activity and integrates input from HSN neurons to regulate timing.
VC4,"VC4 is part of the egg-laying motor network, controlling vulval muscle contractions in synchrony with VC5 and VC6."
VC5,VC5 works with adjacent VC neurons to control vulval muscle tone and timing of egg release.
VC6,"VC6 is the posterior-most hermaphrodite-specific motor neuron, coordinating with HSNs and other VCs to complete the egg-laying motor sequence."
VD1,VD1 is an inhibitory GABAergic motor neuron in the ventral cord that regulates ventral muscle relaxation during locomotion.
VD10,"VD10 provides posterior inhibitory control to complete the locomotor cycle, ensuring balanced alternation of contraction and relaxation."
VD11,"VD11 continues GABAergic inhibition in the tail, refining motor output during reversal and turning behaviors."
VD12,VD12 modulates terminal inhibitory drive in tail segments for controlled relaxation at the locomotion endpoint.
VD13,"VD13 is the final GABAergic motor neuron in the ventral cord, coordinating tail muscle inhibition to conclude movement cycles."
VD2,"VD2 provides inhibitory control to anterior ventral muscles, balancing excitation from VB and VA neurons."
VD3,"VD3 continues the inhibitory sequence along the body, stabilizing oscillatory muscle activity."
VD4,VD4 modulates midbody ventral muscle relaxation to maintain smooth locomotion waves.
VD5,VD5 ensures balance between dorsal and ventral contraction through targeted inhibition of ventral muscles.
VD6,VD6 provides rhythmic inhibition to ventral musculature to prevent overexcitation during crawling.
VD7,VD7 maintains posterior muscle coordination through inhibitory synapses onto ventral body-wall muscles.
VD8,VD8 contributes to stable locomotion by synchronizing inhibition across posterior ventral segments.
VD9,VD9 acts in the tail region to regulate ventral relaxation during the final phase of each locomotion wave.
